x,y,z,date,designator,x_led,y_led,time_delta,driver_number
1204,5299,0,2023-08-27T12:08:35.494000+00:00,U53,1086,5212,380,1
1204,5299,0,2023-08-27T12:08:35.754000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:35.914000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:36.354000+00:00,U53,1086,5212,440,1
1204,5299,0,2023-08-27T12:08:36.774000+00:00,U53,1086,5212,420,1
1204,5299,0,2023-08-27T12:08:37.054000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:08:37.434000+00:00,U53,1086,5212,380,1
1204,5299,0,2023-08-27T12:08:37.674000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:37.894000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:38.234000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:38.454000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:38.694000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:39.014000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:08:39.194000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:39.434000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:39.774000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:39.994000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:40.214000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:40.393000+00:00,U53,1086,5212,179,1
1204,5299,0,2023-08-27T12:08:40.674000+00:00,U53,1086,5212,281,1
1204,5299,0,2023-08-27T12:08:40.814000+00:00,U53,1086,5212,140,1
1204,5299,0,2023-08-27T12:08:41.074000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:41.414000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:41.634000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:41.854000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:42.014000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:42.274000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:42.814000+00:00,U53,1086,5212,540,1
1204,5299,0,2023-08-27T12:08:42.994000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:43.154000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:43.654000+00:00,U53,1086,5212,500,1
1204,5299,0,2023-08-27T12:08:43.734000+00:00,U53,1086,5212,80,1
1204,5299,0,2023-08-27T12:08:44.074000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:44.394000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:08:44.734000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:44.994000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:45.254000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:45.494000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:45.734000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:45.774000+00:00,U53,1086,5212,40,1
1204,5299,0,2023-08-27T12:08:46.134000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:08:46.314000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:46.574000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:46.754000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:08:46.993000+00:00,U53,1086,5212,239,1
1204,5299,0,2023-08-27T12:08:47.294000+00:00,U53,1086,5212,301,1
1204,5299,0,2023-08-27T12:08:47.574000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:08:47.734000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:47.974000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:48.274000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:48.494000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:48.734000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:48.934000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:08:49.174000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:49.494000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:08:49.814000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:08:50.074000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:50.234000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:08:50.474000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:50.814000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:51.094000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:08:51.374000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:08:51.634000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:51.934000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:52.074000+00:00,U53,1086,5212,140,1
1204,5299,0,2023-08-27T12:08:52.274000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:08:52.534000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:52.894000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:08:53.134000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:53.553000+00:00,U53,1086,5212,419,1
1204,5299,0,2023-08-27T12:08:53.974000+00:00,U53,1086,5212,421,1
1204,5299,0,2023-08-27T12:08:54.274000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:54.514000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:54.714000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:08:55.014000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:55.254000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:55.594000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:55.934000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:56.194000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:56.574000+00:00,U53,1086,5212,380,1
1204,5299,0,2023-08-27T12:08:57.034000+00:00,U53,1086,5212,460,1
1204,5299,0,2023-08-27T12:08:57.254000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:08:57.494000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:08:57.754000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:58.094000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:58.494000+00:00,U53,1086,5212,400,1
1204,5299,0,2023-08-27T12:08:58.754000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:08:59.094000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:08:59.394000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:08:59.594000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:08:59.894000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:00.154000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:00.334000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:00.654000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:00.874000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:01.154000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:01.394000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:01.554000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:01.714000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:02.054000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:09:02.074000+00:00,U53,1086,5212,20,1
1204,5299,0,2023-08-27T12:09:02.354000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:02.834000+00:00,U53,1086,5212,480,1
1204,5299,0,2023-08-27T12:09:04.034000+00:00,U53,1086,5212,1200,1
1204,5299,0,2023-08-27T12:09:04.194000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:04.454000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:04.754000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:04.934000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:05.194000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:05.474000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:05.674000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:05.874000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:06.074000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:06.274000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:06.534000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:06.894000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:09:07.154000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:07.314000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:07.574000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:07.834000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:08.014000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:08.274000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:08.474000+00:00,U53,1086,5212,200,1
1204,5299,0,2023-08-27T12:09:08.754000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:08.994000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:09.074000+00:00,U53,1086,5212,80,1
1204,5299,0,2023-08-27T12:09:09.334000+00:00,U53,1086,5212,260,1
1204,5299,0,2023-08-27T12:09:09.494000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:09.774000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:09.934000+00:00,U53,1086,5212,160,1
1204,5299,0,2023-08-27T12:09:10.114000+00:00,U53,1086,5212,180,1
1204,5299,0,2023-08-27T12:09:10.474000+00:00,U53,1086,5212,360,1
1204,5299,0,2023-08-27T12:09:10.774000+00:00,U53,1086,5212,300,1
1204,5299,0,2023-08-27T12:09:11.254000+00:00,U53,1086,5212,480,1
1204,5299,0,2023-08-27T12:09:11.494000+00:00,U53,1086,5212,240,1
1204,5299,0,2023-08-27T12:09:11.774000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:11.994000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:12.214000+00:00,U53,1086,5212,220,1
1204,5299,0,2023-08-27T12:09:12.494000+00:00,U53,1086,5212,280,1
1204,5299,0,2023-08-27T12:09:12.814000+00:00,U53,1086,5212,320,1
1204,5299,0,2023-08-27T12:09:13.154000+00:00,U53,1086,5212,340,1
1204,5299,0,2023-08-27T12:09:13.233000+00:00,U53,1086,5212,79,1
1204,5299,0,2023-08-27T12:09:13.434000+00:00,U53,1086,5212,201,1
1204,5299,0,2023-08-27T12:09:13.674000+00:00,U53,1086,5212,240,1
